Date,AAPL,BA,BAC,CAT,COP,CSCO,CVX,GE,GS,INTC,JPM,KO,MMM,MSFT,PEP,PG,SLB,WFC,WMT,XOM
2006-01-04,,,,,,,,,,,,,,,,,,,,
2006-01-05,,,,,,,,,,,,,,,,,,,,
2006-01-06,,,,,,,,,,,,,,,,,,,,
2006-01-09,,,,,,,,,,,,,,,,,,,,
2006-01-10,,,,,,,,,,,,,,,,,,,,
2006-01-11,,,,,,,,,,,,,,,,,,,,
2006-01-12,,,,,,,,,,,,,,,,,,,,
2006-01-13,,,,,,,,,,,,,,,,,,,,
2006-01-17,,,,,,,,,,,,,,,,,,,,
2006-01-18,,,,,,,,,,,,,,,,,,,,
2006-01-19,,,,,,,,,,,,,,,,,,,,
2006-01-20,,,,,,,,,,,,,,,,,,,,
2006-01-23,,,,,,,,,,,,,,,,,,,,
2006-01-24,,,,,,,,,,,,,,,,,,,,
2006-01-25,,,,,,,,,,,,,,,,,,,,
2006-01-26,,,,,,,,,,,,,,,,,,,,
2006-01-27,,,,,,,,,,,,,,,,,,,,
2006-01-30,,,,,,,,,,,,,,,,,,,,
2006-01-31,,,,,,,,,,,,,,,,,,,,
2006-02-01,,,,,,,,,,,,,,,,,,,,
2006-02-02,,,,,,,,,,,,,,,,,,,,
2006-02-03,,,,,,,,,,,,,,,,,,,,
2006-02-06,,,,,,,,,,,,,,,,,,,,
2006-02-07,,,,,,,,,,,,,,,,,,,,
2006-02-08,,,,,,,,,,,,,,,,,,,,
2006-02-09,,,,,,,,,,,,,,,,,,,,
2006-02-10,,,,,,,,,,,,,,,,,,,,
2006-02-13,,,,,,,,,,,,,,,,,,,,
2006-02-14,,,,,,,,,,,,,,,,,,,,
2006-02-15,,,,,,,,,,,,,,,,,,,,
2006-02-16,,,,,,,,,,,,,,,,,,,,
2006-02-17,,,,,,,,,,,,,,,,,,,,
2006-02-21,,,,,,,,,,,,,,,,,,,,
2006-02-22,,,,,,,,,,,,,,,,,,,,
2006-02-23,,,,,,,,,,,,,,,,,,,,
2006-02-24,,,,,,,,,,,,,,,,,,,,
2006-02-27,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,
2006-03-01,,,,,,,,,,,,,,,,,,,,
2006-03-02,,,,,,,,,,,,,,,,,,,,
2006-03-03,,,,,,,,,,,,,,,,,,,,
2006-03-06,,,,,,,,,,,,,,,,,,,,
2006-03-07,,,,,,,,,,,,,,,,,,,,
2006-03-08,,,,,,,,,,,,,,,,,,,,
2006-03-09,,,,,,,,,,,,,,,,,,,,
2006-03-10,,,,,,,,,,,,,,,,,,,,
2006-03-13,,,,,,,,,,,,,,,,,,,,
2006-03-14,,,,,,,,,,,,,,,,,,,,
2006-03-15,,,,,,,,,,,,,,,,,,,,
2006-03-16,,,,,,,,,,,,,,,,,,,,
2006-03-17,,,,,,,,,,,,,,,,,,,,
2006-03-20,,,,,,,,,,,,,,,,,,,,
2006-03-21,,,,,,,,,,,,,,,,,,,,
2006-03-22,,,,,,,,,,,,,,,,,,,,
2006-03-23,,,,,,,,,,,,,,,,,,,,
2006-03-24,,,,,,,,,,,,,,,,,,,,
2006-03-27,,,,,,,,,,,,,,,,,,,,
2006-03-28,,,,,,,,,,,,,,,,,,,,
2006-03-29,,,,,,,,,,,,,,,,,,,,
2006-03-30,0.41079597325110123,0.407319914678957,0.43312866283237156,0.5358129867860005,0.3252168927917882,0.4171925999801603,0.4042425600951536,0.5435735309910675,0.5594301071303011,0.27727260059041936,0.6723878386453301,0.6085795705767323,0.4879209634978042,0.45237561697911544,0.35392109858540177,0.19759225930153979,0.11937582331100628,0.46750857801082907,0.3264552728646461,0.5932726467623338
2006-03-31,0.4039633327073995,0.41426961026375064,0.4482430630065025,0.5508696523332798,0.34258140183083485,0.4313383483142139,0.4130072702503877,0.5295678691767041,0.573712209923124,0.2831780515271883,0.6677810826106123,0.6174550197656734,0.501255728207621,0.44936682092936714,0.3632434711429159,0.19465501196474888,0.12896180317395545,0.4916426678150696,0.3373228344313332,0.5950202032482416
2006-04-03,0.4026152703508025,0.41211735282048734,0.45276052404101574,0.5507666192175215,0.3447480703238857,0.45053117073927246,0.4147456624724873,0.5240829842817739,0.5736683420788539,0.2945255253077948,0.6725241161307189,0.6225448558134627,0.5015149264654312,0.4533776480525419,0.3621265150276898,0.1966867641346491,0.12779017325792943,0.49444343125657825,0.32028193449217257,0.593937435646661
2006-04-04,0.36272841927309823,0.4749613938657301,0.48082921102114795,0.5481197717187978,0.3303780237736662,0.42340192153754624,0.4007929719005535,0.512903846252487,0.5752036332518307,0.29096827140787895,0.6769495835224448,0.6134769485935482,0.50153984613975,0.4730274133910984,0.34902559794033444,0.20602500861031872,0.11577282795096666,0.496537954460446,0.3001182368106885,0.5834828109959873
2006-04-05,0.368242948549492,0.4836456146628555,0.4887821508702142,0.5438283427293442,0.3499628468513607,0.4214436955397052,0.4144179870773236,0.476681668842859,0.550873341291181,0.30297183290020535,0.6898751345862195,0.5862994186016051,0.5069819013127249,0.47246380828740747,0.3548599632685847,0.18071944984572721,0.13454256879377985,0.49864677550733527,0.3153186715032868,0.5857738268224947
2006-04-06,0.37276215738142515,0.4849487447534806,0.4900035922791995,0.545171861503651,0.35447209564920473,0.3973145033332683,0.41101488009990433,0.4841909874021168,0.5507583397133298,0.3072099373242491,0.6792492524579591,0.5727214988570729,0.4194174481248805,0.46230183166025046,0.3616918261347577,0.18223497705799308,0.1299723830542326,0.49507500238082397,0.3056550069294708,0.5819128911651695
2006-04-07,0.37181980640226997,0.47732190557220117,0.521098439122749,0.5610855585308205,0.3819426367920207,0.4084346566957376,0.42125052417459996,0.5012397854212656,0.5650483498762665,0.2996215430197008,0.7023109744950651,0.5899443385403106,0.4279289206325126,0.4710994561608325,0.38265848481152454,0.184064135110447,0.1654310025915186,0.5085116584435337,0.31763070927902215,0.5925592548999851
2006-04-10,0.3754693392872525,0.47265888349782453,0.5102443890653489,0.5864812324423038,0.38654968330070066,0.40313874816259604,0.42738436656782963,0.48619524904761546,0.5705413339311903,0.30380228908983,0.7008243080851454,0.585642482653201,0.4175428578695318,0.4669793231755533,0.38935890449436145,0.16476124146041526,0.15239987374743139,0.4956263386756737,0.2895799505665255,0.5865888185171236
2006-04-11,0.37571610050089543,0.4801462473533626,0.5126443948313121,0.5669914340364288,0.3772874459305555,0.41309605493264695,0.4283779576054107,0.47495444814677285,0.571719812857448,0.3071870295911642,0.7058773538796007,0.5938672707949797,0.4215057621395732,0.4704553097604185,0.39819423484053845,0.17426993420359432,0.1608811505858966,0.4938655871091974,0.3011660340071012,0.5999931887295209
2006-04-12,0.37221296490083317,0.4545928486848061,0.522038188756385,0.5668431905917894,0.45687024775276347,0.415522890350827,0.4480148650851292,0.4684331547447552,0.5726588432263809,0.3072210118815904,0.7060685312255379,0.595163885493567,0.4221210177696166,0.4719727839875472,0.3991939077594732,0.17369504660856713,0.1577091568345447,0.5024585593504166,0.30222930159233136,0.6001453872939775
2006-04-13,0.3610280262077703,0.44559767772160613,0.5286952936134237,0.5488403609203779,0.44383205703388817,0.4261130938832276,0.42878721844761264,0.4557209242304708,0.5768608463760906,0.3574486411940268,0.6915264343895487,0.5885157338689115,0.43308323992210407,0.46673464020237765,0.4057518041359508,0.19679196637806928,0.165623531843691,0.6072081147016088,0.3257721799998954,0.5842576388356666
2006-04-17,0.3910378598383811,0.4563056190575126,0.5380028829479327,0.5510351396087527,0.41832430325706405,0.4303701944823883,0.4110588329993627,0.4641472211248936,0.5542697967511332,0.370256038617906,0.7052698845022601,0.5914482180489153,0.4428712708936187,0.4699804376472374,0.41480026965531325,0.20819085824745956,0.16771761505545466,0.6649209170208885,0.32185907502440303,0.5696105814576847
2006-04-18,0.3759384843950613,0.39760772282703116,0.49627192261788905,0.5448573626632801,0.5187941093126494,0.4264020765647466,0.4652754923685865,0.42147104173353356,0.5521238666311706,0.327809371291732,0.6742831916719447,0.5324911190614124,0.42084503454367395,0.44249159246706593,0.386712732850004,0.16850406580831503,0.4250960550804982,0.6294761292668112,0.299402743146119,0.5871296373121212
2006-04-19,0.3687164847779264,0.39987722309124524,0.5109431576963515,0.5414797002744547,0.5173155253138269,0.4387760830774618,0.46471344746946536,0.42509866002329966,0.5516300893900182,0.3605441206661116,0.6685827529294657,0.5343877294576734,0.41925917080938946,0.4344531157566745,0.3818614367258681,0.17645207364396048,0.4137364702185337,0.6115100458649925,0.29617612130696575,0.5875971186652628
2006-04-20,0.354409518226208,0.4044365171805858,0.5177608519999228,0.539574407002844,0.5125518003859972,0.4418193604442286,0.4577788903225708,0.41946257128144543,0.5490900027404655,0.36012636333585296,0.6678235181665185,0.5568637257259552,0.42135675849368803,0.43329986655305386,0.3883360726047069,0.17936809853059751,0.4122587856290476,0.6074404702788581,0.3102074667409833,0.5850338505099066
2006-04-21,0.34824543134346636,0.4015332092883495,0.5322721347049815,0.5454473043029259,0.4899480858522571,0.4377471886836231,0.4433104117179159,0.4096636603410805,0.5318073733744885,0.3361886692150093,0.6811249116322666,0.5723686370991684,0.40056096869108737,0.44089861252114915,0.38072059096777183,0.19825491669343975,0.4098233454200465,0.6226553934747387,0.30233898824303707,0.5767564045141922
2006-04-24,0.3873884737942862,0.38859428143470826,0.5100500718244589,0.5498794317284977,0.49643269070411605,0.4571512073073306,0.5002232003143066,0.3994801763236234,0.5203817010007009,0.3238259837659016,0.6805436534466418,0.5692945290153981,0.4154455255487192,0.4395806662446784,0.39597134421181124,0.1722127892318463,0.3904596995838386,0.6053469482122877,0.29796610685167013,0.6077349686923439
2006-04-25,0.3938010390862322,0.42117656616887866,0.5342645047814281,0.5223977529202319,0.49061168522780063,0.44234099426496265,0.5106492436981328,0.41456030732698623,0.5211383136825394,0.2809895714092818,0.6862539365898016,0.5534700419025421,0.4400631003441425,0.4462283126794836,0.3495726041027368,0.10884781919136215,0.37272569907558284,0.6114860860501855,0.33707993341516657,0.5936696795088909
2006-04-26,0.3983579564818177,0.407250580373692,0.5671191298785646,0.542618923994532,0.4656431637875764,0.44652143568161967,0.4999313219474204,0.4219427708036962,0.5177663545815802,0.2936496058978658,0.6915463021030844,0.5777519368511075,0.4493343592173945,0.43761787376803246,0.3929191859990324,0.14279292739536167,0.36122321193883417,0.6325318415298757,0.3370931403368212,0.5761339141003997
2006-04-27,0.4135938967143354,0.37162224691524376,0.5259964191381458,0.5456731616941216,0.4428771051366721,0.44050207386366474,0.4823040417693737,0.42064800850462175,0.5334427355180941,0.2810196040637299,0.6467197150631953,0.5728761679075075,0.4399647047404007,0.46319683540964424,0.38352176894709,0.15500852733437157,0.33665878396319737,0.5965692774148236,0.313707248939356,0.5460586019804358
2006-04-28,0.4092059870100889,0.4457341172101986,0.5068875692445082,0.5472867710255074,0.4408003271388059,0.4416005679861738,0.4767369921513825,0.42090629589239836,0.5181678321709157,0.2827413562571562,0.5598747619424806,0.5725645725660192,0.439347734631958,0.12916230339374696,0.38073900150494033,0.15441343501954086,0.35436485530914585,0.5359133008329543,0.30929549421387786,0.5529095435132713
2006-05-01,0.393789567167253,0.4462742301392884,0.47903216742060534,0.5380048278772086,0.43445939052967014,0.43161145455835354,0.47481635424770385,0.41123133204351187,0.5278292799326445,0.26223749569285526,0.5672620675643022,0.5604254387931888,0.4229666329960793,0.11216948906821994,0.40150092141954163,0.15383700072215373,0.32488594563618584,0.5186450917721858,0.2851888195172762,0.5539356016615181
2006-05-02,0.41641286000339583,0.4473135220227518,0.4601737412070683,0.5594379907864577,0.42655524268072126,0.4360438485254644,0.48146336633953035,0.40819072684196295,0.5505016442242942,0.24450110235855993,0.5679161256938968,0.5526757195824552,0.3600411839200597,0.08892768803013483,0.3663324371564661,0.17051993398221493,0.3563466078325241,0.48217162126418156,0.25841415941671997,0.5660441688256873
2006-05-03,0.43235453521112277,0.43714772579030925,0.47569057619567656,0.5507853861816615,0.44277134037893345,0.4255010555926115,0.5344420040264822,0.4080473453300749,0.5444566140061968,0.2587018543580092,0.5658050675792353,0.5669693143423659,0.32273269183404274,0.10881133696258478,0.3195675814814944,0.20561519638662082,0.3770122389719183,0.4814671274471173,0.21959981206368864,0.5933490756747883
2006-05-04,0.4543481603127914,0.4621337155141797,0.4893065158439242,0.5259250856160825,0.39409850090429877,0.4702516717968058,0.5095017279189163,0.37281601031837397,0.5123043837533242,0.28010171251193444,0.5621467727444673,0.596412670285941,0.3037072448737653,0.10184635733226521,0.3372066290653464,0.18493943987995004,0.32345144168183615,0.4905385285596723,0.1923368399163731,0.5546075634431447
2006-05-05,0.4469563030130044,0.487636334349814,0.5078274618107537,0.5159173083136056,0.39847375277450486,0.4500250406925525,0.5159108365846615,0.3671809946298914,0.5316599993424284,0.29880003524996107,0.5808579905553473,0.614683040851849,0.3148658586553158,0.12600511736124437,0.33833237918300824,0.17051822544868384,0.2988444260182724,0.5109324835569794,0.20100381234195241,0.573912772054708
2006-05-08,0.4490207625813211,0.48636116449702677,0.5103059784510525,0.5125720055745522,0.3903647471774161,0.46225823831810486,0.5089764735922956,0.3795837029913608,0.5310738645386451,0.2911403087889562,0.5796477120730489,0.5673847998548607,0.3372855682034794,0.12094743533950467,0.3665841550875159,0.16813304781188945,0.28890558914642606,0.5048740578589513,0.20960429940739253,0.568159754189935
2006-05-09,0.44015675958453704,0.48437024310668836,0.5141345109455112,0.5099176927822151,0.3944975885544107,0.4554349914208373,0.5188107395761503,0.36993098615004233,0.5357461832762738,0.27737744639290757,0.5798956598125781,0.5619115075426186,0.33020378969398184,0.11898668225497866,0.3585832156020173,0.16607169728212065,0.2788660976207993,0.49762597398580427,0.21003680266537553,0.594108968643491
2006-05-10,0.4256943826632693,0.4526277100903767,0.5060433098167898,0.5120711019753404,0.39346646875610425,0.4205860300819894,0.5232598380386952,0.37706566458905416,0.5332801980024529,0.27764782945981625,0.5783240290739895,0.5485942538330757,0.33869273755320123,0.10212796623496231,0.33704505097039505,0.16202584097065395,0.2524520887813613,0.5011087170026904,0.2013015028074326,0.6014974726742935
2006-05-11,0.4400364251218385,0.4689583856875144,0.5223826752201179,0.521229433731071,0.42332115686859256,0.4728163051656414,0.5424225855483314,0.3791565181215837,0.5652819236451134,0.2801118407889592,0.6070427549747296,0.5374817875206935,0.34319760812128086,0.13421679667653966,0.3643533251254942,0.1877588142052912,0.3482719057592984,0.49908446244339316,0.21115704061877957,0.6148423641864834
