Date,AAPL,BA,BAC,CAT,COP,CSCO,CVX,GE,GS,INTC,JPM,KO,MMM,MSFT,PEP,PG,SLB,WFC,WMT,XOM
2006-01-04,,,,,,,,,,,,,,,,,,,,
2006-01-05,,,,,,,,,,,,,,,,,,,,
2006-01-06,,,,,,,,,,,,,,,,,,,,
2006-01-09,,,,,,,,,,,,,,,,,,,,
2006-01-10,,,,,,,,,,,,,,,,,,,,
2006-01-11,,,,,,,,,,,,,,,,,,,,
2006-01-12,,,,,,,,,,,,,,,,,,,,
2006-01-13,,,,,,,,,,,,,,,,,,,,
2006-01-17,,,,,,,,,,,,,,,,,,,,
2006-01-18,,,,,,,,,,,,,,,,,,,,
2006-01-19,,,,,,,,,,,,,,,,,,,,
2006-01-20,,,,,,,,,,,,,,,,,,,,
2006-01-23,,,,,,,,,,,,,,,,,,,,
2006-01-24,,,,,,,,,,,,,,,,,,,,
2006-01-25,,,,,,,,,,,,,,,,,,,,
2006-01-26,,,,,,,,,,,,,,,,,,,,
2006-01-27,,,,,,,,,,,,,,,,,,,,
2006-01-30,,,,,,,,,,,,,,,,,,,,
2006-01-31,,,,,,,,,,,,,,,,,,,,
2006-02-01,,,,,,,,,,,,,,,,,,,,
2006-02-02,,,,,,,,,,,,,,,,,,,,
2006-02-03,,,,,,,,,,,,,,,,,,,,
2006-02-06,,,,,,,,,,,,,,,,,,,,
2006-02-07,,,,,,,,,,,,,,,,,,,,
2006-02-08,,,,,,,,,,,,,,,,,,,,
2006-02-09,,,,,,,,,,,,,,,,,,,,
2006-02-10,,,,,,,,,,,,,,,,,,,,
2006-02-13,,,,,,,,,,,,,,,,,,,,
2006-02-14,,,,,,,,,,,,,,,,,,,,
2006-02-15,,,,,,,,,,,,,,,,,,,,
2006-02-16,,,,,,,,,,,,,,,,,,,,
2006-02-17,,,,,,,,,,,,,,,,,,,,
2006-02-21,,,,,,,,,,,,,,,,,,,,
2006-02-22,,,,,,,,,,,,,,,,,,,,
2006-02-23,,,,,,,,,,,,,,,,,,,,
2006-02-24,,,,,,,,,,,,,,,,,,,,
2006-02-27,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,
2006-03-01,,,,,,,,,,,,,,,,,,,,
2006-03-02,,,,,,,,,,,,,,,,,,,,
2006-03-03,,,,,,,,,,,,,,,,,,,,
2006-03-06,,,,,,,,,,,,,,,,,,,,
2006-03-07,,,,,,,,,,,,,,,,,,,,
2006-03-08,,,,,,,,,,,,,,,,,,,,
2006-03-09,,,,,,,,,,,,,,,,,,,,
2006-03-10,,,,,,,,,,,,,,,,,,,,
2006-03-13,,,,,,,,,,,,,,,,,,,,
2006-03-14,,,,,,,,,,,,,,,,,,,,
2006-03-15,,,,,,,,,,,,,,,,,,,,
2006-03-16,,,,,,,,,,,,,,,,,,,,
2006-03-17,,,,,,,,,,,,,,,,,,,,
2006-03-20,,,,,,,,,,,,,,,,,,,,
2006-03-21,,,,,,,,,,,,,,,,,,,,
2006-03-22,,,,,,,,,,,,,,,,,,,,
2006-03-23,,,,,,,,,,,,,,,,,,,,
2006-03-24,,,,,,,,,,,,,,,,,,,,
2006-03-27,,,,,,,,,,,,,,,,,,,,
2006-03-28,,,,,,,,,,,,,,,,,,,,
2006-03-29,,,,,,,,,,,,,,,,,,,,
2006-03-30,0.027335286336060673,0.011695454202352969,0.006937228262217979,0.015164892750877658,0.01630273843349704,0.01635915718220139,0.012145007342731648,0.008987480063840033,0.013376186218111128,0.01830453055736165,0.009038107543874362,0.0067741885759424175,0.00886312467339057,0.010160147686457231,0.006099005515857935,0.008764777296798785,0.022716273810660426,0.007372245517305745,0.009406267298389864,0.010600565037112812
2006-03-31,0.027327209054587867,0.011688978224075696,0.006806573379210882,0.014976729729540728,0.01650086838111054,0.016322633805723314,0.012198467357538425,0.009000175549588468,0.013188766241647606,0.018189639450128324,0.009000755919145717,0.0068193008748722705,0.008945708544749645,0.010143816194802478,0.006134877983020165,0.008760567917478191,0.022784180521586966,0.007229653010854187,0.009482658577640723,0.010620619978385653
2006-04-03,0.027319051247476626,0.01155530073734813,0.006816961895125082,0.015193320589688657,0.01663557385778136,0.016021688272704133,0.012120343331547689,0.009000358200673086,0.013186700285267795,0.018028758727484287,0.009031053040147282,0.006795844261535507,0.008878650501843704,0.010273567379159281,0.0060964641732142505,0.00877132919169661,0.02275787794466908,0.00728012114814947,0.009402436375439983,0.010596783881402736
2006-04-04,0.02719618747668493,0.011389222905865687,0.007033076002009776,0.015287022822278047,0.016452793143727957,0.01581191429107686,0.011956046939610422,0.008954814582521538,0.0132509502034106,0.018011998331352072,0.00921576218257754,0.006719088938140135,0.009039765261849547,0.010268380053600807,0.006073351856803575,0.008775014140594369,0.02265374353695998,0.007318711768687773,0.009424233862931303,0.010405710167691654
2006-04-05,0.030219548224988835,0.011316415445716058,0.007068716947296776,0.015175580615176041,0.016658075590800316,0.01572701492467274,0.01200389375974895,0.00900759628022372,0.013224607593940858,0.018050373152065938,0.009027022894635995,0.006708590909728784,0.009050524312970725,0.010270914024590752,0.006047124984151923,0.008757122476361881,0.02261754192507305,0.0073315454296321424,0.009459818760038742,0.010431609722424368
2006-04-06,0.03010274635239646,0.011343787568149445,0.007052089619321425,0.015160003846363613,0.016687775291331686,0.016052474695706736,0.011991185585015092,0.008990301430968229,0.013185286445741205,0.018016955586233303,0.009069221442699133,0.006759723537263791,0.011140727578718793,0.010293786888457133,0.006042402869282078,0.00874764043999594,0.022617450845687337,0.007343653570953294,0.009497106445750575,0.010395757050517944
2006-04-07,0.0297492060021693,0.011257262001937478,0.0071660493405349725,0.015252516789819351,0.016907959718743374,0.01601128654265969,0.012036217628615849,0.009114912734522486,0.013236701030449076,0.01800528397853285,0.00926557535584784,0.006844189518498074,0.01115418280183397,0.010312627595013089,0.00603959622565953,0.008744745753150873,0.022957945492772497,0.007416192193591336,0.009409251118112905,0.010497577056923422
2006-04-10,0.02978330320992286,0.011331004336843621,0.00711635123374431,0.015193789603210085,0.01695183692224191,0.015965425115782132,0.01226750040617133,0.008994026639085054,0.013254494496054653,0.018060475624964975,0.008933994022659235,0.00681676890072785,0.01108924970874755,0.01028792268826011,0.006077155242968191,0.00863710262425689,0.02280002153673383,0.007247233629474317,0.00916352446463864,0.010469328259788583
2006-04-11,0.029697425979115764,0.011328638064595525,0.007125452466708576,0.015279557320920355,0.01698182768864694,0.01582323999734967,0.012238986842593584,0.009000816410544503,0.013597041746833476,0.018073124041446214,0.008982624940372472,0.006831125515215079,0.011088092266655834,0.010315129702387911,0.006100641025620856,0.008682626845304686,0.023140044854462076,0.007216518771380698,0.009129430529851042,0.010080882684328121
2006-04-12,0.029751418867438807,0.011827870191857093,0.006994735915159167,0.01533264104883962,0.015300544068628536,0.01571080031217706,0.01191008162397928,0.009123289438795085,0.013555759913841857,0.0180601033072655,0.008979991691806714,0.006786870051978896,0.011064902170606827,0.01027355259768669,0.0060750930861907405,0.008669777529588746,0.02323701474306119,0.007077778990191439,0.009099671553079213,0.01007928038722312
2006-04-13,0.02960230568203396,0.011807270426684856,0.006992137709067355,0.015299752013046987,0.015187775238980345,0.01572684175931969,0.01175341498268138,0.009359189471450216,0.013549833535652261,0.011168938178136247,0.008873083895682527,0.0067580162245781525,0.011070016505366128,0.01026293144922056,0.006074571216829671,0.008651804432013216,0.023236758608317202,0.006801661761030864,0.009088447872111221,0.009909411094152887
2006-04-17,0.029307823707794393,0.011860564895301849,0.0070221967095334846,0.015329843066604764,0.015267128293990559,0.01578371419176953,0.011717592890474094,0.00961501461341299,0.013610113578138511,0.011228518608765427,0.008859590475080331,0.0067896311475749704,0.011126792309746801,0.010284349816816937,0.006165989656903421,0.008734509390502977,0.022296700975434052,0.006486207584022689,0.00891735918376218,0.009810068187061491
2006-04-18,0.02912308097881481,0.011329919528643933,0.006561555560752742,0.015215404522378302,0.015821152308109137,0.01572860965222844,0.012166010311473718,0.008573600465127415,0.013588592053782503,0.010810706814185526,0.008263160165956516,0.0062661626386377855,0.010904939343234115,0.010007491440011892,0.005908135834750886,0.008627046585305016,0.02107438995099143,0.006116711601692702,0.008757701609194538,0.01004807271171217
2006-04-19,0.02898214757370674,0.011507474382120634,0.006514357759915427,0.015222943627756088,0.015818278024245725,0.015560335284437293,0.011946334913144582,0.008565697517420395,0.013574876617528181,0.01065885843056478,0.008250987343331309,0.006246602827335192,0.010891642745730257,0.010048830692112183,0.005890139538992518,0.00863624483696144,0.02169977305277516,0.006167472371588763,0.008734519030826813,0.010063961045626893
2006-04-20,0.02917744332320669,0.011489192047420452,0.006497469087162549,0.01532855507420447,0.015896122845266935,0.015632865875461335,0.012118950974160981,0.008494016776075983,0.013584860100110376,0.01067044202007435,0.00821797594979624,0.006135230323016563,0.010565283506650439,0.01004040153814599,0.0060255607095942125,0.008631496130818608,0.021533704951144546,0.00618287565847616,0.008641784428099942,0.010083567768911979
2006-04-21,0.029041840812627687,0.011351537630055288,0.006597197755481609,0.015311785108719056,0.016423701626618308,0.015759315022742245,0.01241206078337535,0.008474036998172459,0.013777324027979081,0.010937836814765138,0.00817424872937194,0.006095129711693487,0.010890069687289103,0.010039557629663546,0.005963883999507998,0.008519899955029924,0.02128356141256295,0.006140407430092027,0.008771583478151667,0.01013859839426419
2006-04-24,0.02896873678310975,0.011006533430438756,0.006578152714719469,0.014124045638863792,0.01716823849609609,0.015985369221489777,0.012253416816532822,0.008424846303191142,0.013407405886312103,0.010790457244868188,0.00737371524187045,0.0060794960513436405,0.010855846302475183,0.010033971752486255,0.005941223011732845,0.00850406223492025,0.020968760413536205,0.006044460510063916,0.00874977959301728,0.010202620292595239
2006-04-25,0.028982377490282013,0.011157035729785087,0.006565057609017376,0.014138323567609438,0.01733646925395905,0.015968816362237234,0.012316261103579118,0.008417473666440477,0.01357794470902682,0.010874803898866144,0.007530791200587861,0.005919923225720379,0.010930659913012841,0.007787608847444068,0.005680566644007943,0.008395091982053753,0.020760487599960183,0.006043447736351268,0.008650934458484206,0.009878243834573018
2006-04-26,0.028738765218779546,0.011176755533102538,0.006659142791374712,0.014161125962835175,0.017475797814725715,0.016024374556832473,0.012298984148429212,0.00843180573534491,0.013568758392248739,0.01116725731435177,0.007623347803355901,0.005994397402392822,0.010948428844304465,0.007718546838910604,0.005599432913078162,0.008479235720332495,0.02052101709744648,0.006082257092966272,0.008556419345560635,0.00929179328178464
2006-04-27,0.028825079577319553,0.011158406480911685,0.007423139625636703,0.014198492312580318,0.0175442072996381,0.015890185889254928,0.011949006645156364,0.008454327322506911,0.013536763364544959,0.011692587009028402,0.008471134380096773,0.005959052308607384,0.010976827637972418,0.007720845163578296,0.005515384357681382,0.008518977567034448,0.02031936982246046,0.006753907950067912,0.008569061574556617,0.009368514478721182
2006-04-28,0.02889768337877996,0.009575840407733365,0.0076239962403574675,0.014036198633654854,0.017579660413926265,0.015895617490839023,0.01204390479999897,0.00834672695633681,0.01391729506635119,0.01154889519388051,0.009351383643977734,0.005958833967668682,0.010968697463207841,0.016540790227676377,0.0055219327019311905,0.008422521385865238,0.01995339710413197,0.007285281339132404,0.008738366203434182,0.009312416658487432
2006-05-01,0.02837059598695147,0.009577969434888934,0.007734306373211118,0.013923328241394372,0.017650579494519755,0.01579941983877306,0.012033585176435,0.008324763734735358,0.014311310224063713,0.01177995926571422,0.00956425024852413,0.005891068906944335,0.010795293808520063,0.01651423917488389,0.005513407529245944,0.008444708552776166,0.020197972736336747,0.007319293756179608,0.009114201731215278,0.009334149475644125
2006-05-02,0.02861612405233095,0.009578225021775669,0.007625684509737743,0.014204945861679957,0.017395525061142805,0.01585780493921672,0.012240924629307176,0.008321540236367537,0.014417357491235796,0.011622552288797884,0.009563778717083728,0.005822529661771006,0.010609426667847005,0.016555776473194183,0.005531337212951256,0.008462685956190317,0.02052812469126242,0.007290633988274469,0.008856376398880426,0.009569909855743958
2006-05-03,0.02738807710387784,0.009586391977079719,0.007642957373043338,0.014202383184414543,0.017718753999920917,0.015629022868955504,0.012077085923159182,0.008316148262993543,0.014416260157694356,0.011786655706102619,0.009553576402558824,0.005918143383019487,0.01074804567608211,0.017033073060177265,0.0054698249173079985,0.009422646230238389,0.020492605636659653,0.0072926297638933645,0.008884564739440312,0.009694930736808669
2006-05-04,0.027385490366099077,0.00960948203059638,0.007765182266311236,0.013851497767690995,0.01688861257155415,0.015665106670172686,0.011795658483019103,0.008208673566928832,0.01407929964272053,0.011853224521710342,0.00951279566634013,0.005929536703520781,0.010665210422377119,0.01711035617940446,0.005497697536847772,0.009406236623525842,0.019036406035188136,0.007417816881387314,0.008865301145109623,0.009250892960481023
2006-05-05,0.02732674919671625,0.00986983221406495,0.007832746436616083,0.013648102736491323,0.01689180452049173,0.012800648416087006,0.011807509794830215,0.00814443203463133,0.014860680190091829,0.011919338605770305,0.009773776526712026,0.0061915404049343445,0.010692510049499974,0.017258072018885344,0.005499879362543149,0.009397431589167055,0.01898996689154766,0.007490431062232701,0.008972370501085165,0.009338603935644485
2006-05-08,0.02627645989912609,0.010022317651009603,0.007931941537134606,0.013617558964342667,0.01674485522044576,0.012779749647204157,0.011591277710465094,0.008160916181684635,0.01488350307569885,0.012414646997462253,0.009954286260123976,0.0064195960249534365,0.010601905990348442,0.017231016805961723,0.00546742385007318,0.009512326987967924,0.018646754839251017,0.007566706532363649,0.00897421165347601,0.009296054360504352
2006-05-09,0.025945296695263305,0.010010655120458713,0.007932544824550946,0.01371607591553259,0.01674404599122939,0.012745553410601957,0.011660244003756976,0.00806082902702065,0.014944869793490198,0.012333416465763794,0.00996913544216345,0.006453776801178281,0.010666758903556204,0.01723090298324569,0.0054690775751353015,0.009520025483337169,0.01841233721212336,0.0075347244774453944,0.009002594566104565,0.00922167040558216
2006-05-10,0.02543308683368462,0.010037438242397093,0.007881328163532719,0.013717313537203511,0.016760143184768202,0.01389992693177863,0.011659894348399672,0.00815173692135647,0.0149689867543334,0.012459447835586304,0.00995421364814808,0.00629509275541299,0.010670976084874108,0.01721761406083611,0.005416920007249092,0.009512358146453343,0.018399009032244087,0.007577862362585534,0.008974364525692223,0.009226628409609118
2006-05-11,0.02520873590139016,0.010132282246646182,0.007961733625926923,0.013680280685890762,0.01684494318804877,0.014578838114468796,0.01160303774192209,0.008160327374561935,0.015440615998098008,0.01241767536618351,0.01023244372326532,0.0060853715226738435,0.0106818186036187,0.017374034570770205,0.005481776158610089,0.009574539384602471,0.018285984396714826,0.007417564333341829,0.008723013033230358,0.009278542221969423
