,volatility,mean_return,avg_correlation,cluster
AAPL,0.0212336954352143,0.002906497782359,0.0883968365187296,0
BA,0.0327598686437635,0.0054219784467766,0.7917750102049972,1
BAC,0.0268362250538805,0.0040865417000441,0.7969439366334795,1
CAT,0.0210274411968645,0.0033803829433833,0.6542218226962662,3
COP,0.0381688742168582,0.0039604342652422,0.7980115513622568,1
CSCO,0.0151337788222206,0.0025911075977477,0.6183467472192832,3
CVX,0.0284506189163339,0.0032236663735711,0.8817657042120041,1
GE,0.02440367158592,0.0096774810789769,0.6037678057802415,2
GS,0.0195185997634903,0.0048040436940035,0.773208509993969,1
INTC,0.0228160067882122,-0.0001256292141003,0.31847051584163,0
JPM,0.0246382686256509,0.0046211639024655,0.8409110582472615,1
KO,0.0137411728907338,0.0021212218397145,0.8000664410935214,3
MMM,0.012985638959815,0.0014703340885546,0.5756602476983587,3
MSFT,0.0161520489671708,0.0014583673311129,0.1125754601316809,0
PEP,0.0093926836239877,0.0016429211353337,0.4106516401129772,3
PG,0.0101764086934205,8.742759588008704e-05,-0.0285886565931933,0
SLB,0.0404793786250267,0.0064085775343851,0.7572806574312669,1
WFC,0.0275451611796946,0.0041429498373896,0.8075785551968815,1
WMT,0.0096553137293759,0.000518791603214,0.1833337231367151,0
XOM,0.0310726179328691,0.0043773824594462,0.847860492756806,1
