,volatility,mean_return,avg_correlation,cluster
AAPL,0.0503543324673133,-0.0056883965941829,0.7066094366215924,0
BA,0.0429848975700395,-0.0026129867565669,0.8253105562032377,1
BAC,0.0862744671613049,-0.0003117854571533,0.7536010927203474,3
CAT,0.0407855047076654,-0.0088077665580979,0.8135477041011184,2
COP,0.0551453220479468,-0.0056528994217754,0.8423473574263165,2
CSCO,0.0426994722162244,-0.0038180654488423,0.9232185493994256,1
CVX,0.0547716634075537,-0.0002923118685496,0.880273505544108,1
GE,0.0448908222219084,-0.0051336015855687,0.6794277220991378,0
GS,0.0669497216701805,-0.008130345765695,0.6536705238193901,0
INTC,0.0408480816597379,-0.0056657009160082,0.8309569628529692,2
JPM,0.0691306699899216,0.0030615736700789,0.7081676974258118,3
KO,0.0342557937505286,-0.0027061560129566,0.6843410411362749,0
MMM,0.0305497343292027,-0.0011195013523385,0.8368546690148552,1
MSFT,0.0417629940273247,-0.002502167357389,0.8074732553319284,1
PEP,0.0295639731360449,-0.0023829392519377,0.714241506030285,0
PG,0.0291825461113236,-0.0002187367956701,0.8135734403049655,1
SLB,0.0547536870502429,-0.0086880874907189,0.7844403399435814,2
WFC,0.0600869568020802,0.0044495854784447,0.7210993063165644,3
WMT,0.0301795984453174,0.0001682950001866,0.812814356185498,1
XOM,0.0520086967680223,0.0006708681515783,0.8377084543194663,1
